departamento_codigo,departamento_nombre,ano,area_geografica,poblacion_total
05,Antioquia,2018,Cabecera Municipal,4972962
05,Antioquia,2018,Centros Poblados y Rural Disperso,1434187
05,Antioquia,2018,Total,6407149
08,Atlántico,2018,Cabecera Municipal,2404819
08,Atlántico,2018,Centros Poblados y Rural Disperso,130687
08,Atlántico,2018,Total,2535506
11,"Bogotá, D.C.",2018,Cabecera Municipal,7366187
11,"Bogotá, D.C.",2018,Centros Poblados y Rural Disperso,24869
11,"Bogotá, D.C.",2018,Total,7391056
13,Bolívar,2018,Cabecera Municipal,1549072
13,Bolívar,2018,Centros Poblados y Rural Disperso,521011
13,Bolívar,2018,Total,2070083
15,Boyacá,2018,Cabecera Municipal,715086
15,Boyacá,2018,Centros Poblados y Rural Disperso,503669
15,Boyacá,2018,Total,1218755
17,Caldas,2018,Cabecera Municipal,740866
17,Caldas,2018,Centros Poblados y Rural Disperso,257383
17,Caldas,2018,Total,998249
18,Caquetá,2018,Cabecera Municipal,258773
18,Caquetá,2018,Centros Poblados y Rural Disperso,143312
18,Caquetá,2018,Total,402085
19,Cauca,2018,Cabecera Municipal,545909
19,Cauca,2018,Centros Poblados y Rural Disperso,918593
19,Cauca,2018,Total,1464502
20,Cesar,2018,Cabecera Municipal,903376
20,Cesar,2018,Centros Poblados y Rural Disperso,297213
20,Cesar,2018,Total,1200589
23,Córdoba,2018,Cabecera Municipal,937313
23,Córdoba,2018,Centros Poblados y Rural Disperso,847441
23,Córdoba,2018,Total,1784754
25,Cundinamarca,2018,Cabecera Municipal,2093005
25,Cundinamarca,2018,Centros Poblados y Rural Disperso,846835
25,Cundinamarca,2018,Total,2939840
27,Chocó,2018,Cabecera Municipal,243180
27,Chocó,2018,Centros Poblados y Rural Disperso,291627
27,Chocó,2018,Total,534807
41,Huila,2018,Cabecera Municipal,669696
41,Huila,2018,Centros Poblados y Rural Disperso,430668
41,Huila,2018,Total,1100364
44,La Guajira,2018,Cabecera Municipal,410637
44,La Guajira,2018,Centros Poblados y Rural Disperso,469915
44,La Guajira,2018,Total,880552
47,Magdalena,2018,Cabecera Municipal,938356
47,Magdalena,2018,Centros Poblados y Rural Disperso,403441
47,Magdalena,2018,Total,1341797
50,Meta,2018,Cabecera Municipal,795172
50,Meta,2018,Centros Poblados y Rural Disperso,244529
50,Meta,2018,Total,1039701
52,Nariño,2018,Cabecera Municipal,716592
52,Nariño,2018,Centros Poblados y Rural Disperso,914006
52,Nariño,2018,Total,1630598
54,Norte de Santander,2018,Cabecera Municipal,1173733
54,Norte de Santander,2018,Centros Poblados y Rural Disperso,317987
54,Norte de Santander,2018,Total,1491720
63,Quindío,2018,Cabecera Municipal,471926
63,Quindío,2018,Centros Poblados y Rural Disperso,67992
63,Quindío,2018,Total,539918
66,Risaralda,2018,Cabecera Municipal,736147
66,Risaralda,2018,Centros Poblados y Rural Disperso,207246
66,Risaralda,2018,Total,943393
68,Santander,2018,Cabecera Municipal,1656425
68,Santander,2018,Centros Poblados y Rural Disperso,527707
68,Santander,2018,Total,2184132
70,Sucre,2018,Cabecera Municipal,569076
70,Sucre,2018,Centros Poblados y Rural Disperso,335774
70,Sucre,2018,Total,904850
73,Tolima,2018,Cabecera Municipal,907504
73,Tolima,2018,Centros Poblados y Rural Disperso,422680
73,Tolima,2018,Total,1330184
76,Valle del Cauca,2018,Cabecera Municipal,3809546
76,Valle del Cauca,2018,Centros Poblados y Rural Disperso,666327
76,Valle del Cauca,2018,Total,4475873
81,Arauca,2018,Cabecera Municipal,172646
81,Arauca,2018,Centros Poblados y Rural Disperso,89531
81,Arauca,2018,Total,262177
85,Casanare,2018,Cabecera Municipal,295439
85,Casanare,2018,Centros Poblados y Rural Disperso,125072
85,Casanare,2018,Total,420511
86,Putumayo,2018,Cabecera Municipal,174715
86,Putumayo,2018,Centros Poblados y Rural Disperso,173452
86,Putumayo,2018,Total,348167
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2018,Cabecera Municipal,44900
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2018,Centros Poblados y Rural Disperso,16384
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2018,Total,61284
91,Amazonas,2018,Cabecera Municipal,37117
91,Amazonas,2018,Centros Poblados y Rural Disperso,39456
91,Amazonas,2018,Total,76573
94,Guainía,2018,Cabecera Municipal,20322
94,Guainía,2018,Centros Poblados y Rural Disperso,27759
94,Guainía,2018,Total,48081
95,Guaviare,2018,Cabecera Municipal,46066
95,Guaviare,2018,Centros Poblados y Rural Disperso,36702
95,Guaviare,2018,Total,82768
97,Vaupés,2018,Cabecera Municipal,12110
97,Vaupés,2018,Centros Poblados y Rural Disperso,28664
97,Vaupés,2018,Total,40774
99,Vichada,2018,Cabecera Municipal,25848
99,Vichada,2018,Centros Poblados y Rural Disperso,81854
99,Vichada,2018,Total,107702
05,Antioquia,2019,Cabecera Municipal,5075565
05,Antioquia,2019,Centros Poblados y Rural Disperso,1442505
05,Antioquia,2019,Total,6518070
08,Atlántico,2019,Cabecera Municipal,2475498
08,Atlántico,2019,Centros Poblados y Rural Disperso,133410
08,Atlántico,2019,Total,2608908
11,"Bogotá, D.C.",2019,Cabecera Municipal,7507403
11,"Bogotá, D.C.",2019,Centros Poblados y Rural Disperso,25799
11,"Bogotá, D.C.",2019,Total,7533202
13,Bolívar,2019,Cabecera Municipal,1574683
13,Bolívar,2019,Centros Poblados y Rural Disperso,533729
13,Bolívar,2019,Total,2108412
15,Boyacá,2019,Cabecera Municipal,730718
15,Boyacá,2019,Centros Poblados y Rural Disperso,502712
15,Boyacá,2019,Total,1233430
17,Caldas,2019,Cabecera Municipal,754261
17,Caldas,2019,Centros Poblados y Rural Disperso,257325
17,Caldas,2019,Total,1011586
18,Caquetá,2019,Cabecera Municipal,262363
18,Caquetá,2019,Centros Poblados y Rural Disperso,143748
18,Caquetá,2019,Total,406111
19,Cauca,2019,Cabecera Municipal,552173
19,Cauca,2019,Centros Poblados y Rural Disperso,935204
19,Cauca,2019,Total,1487377
20,Cesar,2019,Cabecera Municipal,939403
20,Cesar,2019,Centros Poblados y Rural Disperso,311772
20,Cesar,2019,Total,1251175
23,Córdoba,2019,Cabecera Municipal,954382
23,Córdoba,2019,Centros Poblados y Rural Disperso,866857
23,Córdoba,2019,Total,1821239
25,Cundinamarca,2019,Cabecera Municipal,2191313
25,Cundinamarca,2019,Centros Poblados y Rural Disperso,861008
25,Cundinamarca,2019,Total,3052321
27,Chocó,2019,Cabecera Municipal,245821
27,Chocó,2019,Centros Poblados y Rural Disperso,299499
27,Chocó,2019,Total,545320
41,Huila,2019,Cabecera Municipal,680476
41,Huila,2019,Centros Poblados y Rural Disperso,437310
41,Huila,2019,Total,1117786
44,La Guajira,2019,Cabecera Municipal,438015
44,La Guajira,2019,Centros Poblados y Rural Disperso,480047
44,La Guajira,2019,Total,918062
47,Magdalena,2019,Cabecera Municipal,963053
47,Magdalena,2019,Centros Poblados y Rural Disperso,421009
47,Magdalena,2019,Total,1384062
50,Meta,2019,Cabecera Municipal,810329
50,Meta,2019,Centros Poblados y Rural Disperso,252026
50,Meta,2019,Total,1062355
52,Nariño,2019,Cabecera Municipal,723089
52,Nariño,2019,Centros Poblados y Rural Disperso,922619
52,Nariño,2019,Total,1645708
54,Norte de Santander,2019,Cabecera Municipal,1217266
54,Norte de Santander,2019,Centros Poblados y Rural Disperso,328076
54,Norte de Santander,2019,Total,1545342
63,Quindío,2019,Cabecera Municipal,475871
63,Quindío,2019,Centros Poblados y Rural Disperso,68238
63,Quindío,2019,Total,544109
66,Risaralda,2019,Cabecera Municipal,749277
66,Risaralda,2019,Centros Poblados y Rural Disperso,206935
66,Risaralda,2019,Total,956212
68,Santander,2019,Cabecera Municipal,1695678
68,Santander,2019,Centros Poblados y Rural Disperso,536606
68,Santander,2019,Total,2232284
70,Sucre,2019,Cabecera Municipal,583260
70,Sucre,2019,Centros Poblados y Rural Disperso,345102
70,Sucre,2019,Total,928362
73,Tolima,2019,Cabecera Municipal,914414
73,Tolima,2019,Centros Poblados y Rural Disperso,426724
73,Tolima,2019,Total,1341138
76,Valle del Cauca,2019,Cabecera Municipal,3857650
76,Valle del Cauca,2019,Centros Poblados y Rural Disperso,676281
76,Valle del Cauca,2019,Total,4533931
81,Arauca,2019,Cabecera Municipal,174562
81,Arauca,2019,Centros Poblados y Rural Disperso,91469
81,Arauca,2019,Total,266031
85,Casanare,2019,Cabecera Municipal,304338
85,Casanare,2019,Centros Poblados y Rural Disperso,126211
85,Casanare,2019,Total,430549
86,Putumayo,2019,Cabecera Municipal,178468
86,Putumayo,2019,Centros Poblados y Rural Disperso,176649
86,Putumayo,2019,Total,355117
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2019,Cabecera Municipal,45050
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2019,Centros Poblados y Rural Disperso,16629
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2019,Total,61679
91,Amazonas,2019,Cabecera Municipal,37915
91,Amazonas,2019,Centros Poblados y Rural Disperso,40150
91,Amazonas,2019,Total,78065
94,Guainía,2019,Cabecera Municipal,21296
94,Guainía,2019,Centros Poblados y Rural Disperso,28652
94,Guainía,2019,Total,49948
95,Guaviare,2019,Cabecera Municipal,46282
95,Guaviare,2019,Centros Poblados y Rural Disperso,36856
95,Guaviare,2019,Total,83138
97,Vaupés,2019,Cabecera Municipal,12065
97,Vaupés,2019,Centros Poblados y Rural Disperso,29383
97,Vaupés,2019,Total,41448
99,Vichada,2019,Cabecera Municipal,27352
99,Vichada,2019,Centros Poblados y Rural Disperso,86697
99,Vichada,2019,Total,114049
05,Antioquia,2020,Cabecera Municipal,5189381
05,Antioquia,2020,Centros Poblados y Rural Disperso,1452691
05,Antioquia,2020,Total,6642072
08,Atlántico,2020,Cabecera Municipal,2556800
08,Atlántico,2020,Centros Poblados y Rural Disperso,136588
08,Atlántico,2020,Total,2693388
11,"Bogotá, D.C.",2020,Cabecera Municipal,7690578
11,"Bogotá, D.C.",2020,Centros Poblados y Rural Disperso,26986
11,"Bogotá, D.C.",2020,Total,7717564
13,Bolívar,2020,Cabecera Municipal,1603626
13,Bolívar,2020,Centros Poblados y Rural Disperso,547835
13,Bolívar,2020,Total,2151461
15,Boyacá,2020,Cabecera Municipal,742796
15,Boyacá,2020,Centros Poblados y Rural Disperso,506181
15,Boyacá,2020,Total,1248977
17,Caldas,2020,Cabecera Municipal,768323
17,Caldas,2020,Centros Poblados y Rural Disperso,257325
17,Caldas,2020,Total,1025648
18,Caquetá,2020,Cabecera Municipal,266465
18,Caquetá,2020,Centros Poblados y Rural Disperso,144102
18,Caquetá,2020,Total,410567
19,Cauca,2020,Cabecera Municipal,558754
19,Cauca,2020,Centros Poblados y Rural Disperso,952150
19,Cauca,2020,Total,1510904
20,Cesar,2020,Cabecera Municipal,979793
20,Cesar,2020,Centros Poblados y Rural Disperso,327970
20,Cesar,2020,Total,1307763
23,Córdoba,2020,Cabecera Municipal,972571
23,Córdoba,2020,Centros Poblados y Rural Disperso,887239
